"Date","^GSPC","NVDA","AAPL","MSFT","AVGO","AMD","NOW","GOOG","META","NFLX","VZ","DIS","T","V","JPM","MS","GS","BAC","SCHW","AMZN","TSLA","MCD","SBUX","HD","EBAY","LLY","NVO","UNH","JNJ","AMGN","PFE"
2017-02-01,0.0371982605414087,-0.0706319702602231,0.133595988538682,-0.00431778929188253,0.0570317563188594,0.394406943105111,-0.0408388520971303,0.033172955178526,0.0400185772892641,0.00995024875621886,0.0126495726495728,-0.00506131983648039,-0.00916870415647908,0.0652623416903595,0.0707024730693369,0.0749768589941378,0.0845347661860936,0.0903119868637112,-0.0183712640526461,0.0262326937090114,-0.00773809523809521,0.0490647040785035,0.0344597598932861,0.0532148745191425,0.0649857954545454,0.0822289156626506,-0.023448275862069,0.0201976484166486,0.0862444164471423,0.134437367303609,0.0865284974093263
2017-03-01,-0.000389230170415145,0.0720000000000001,0.0486571879936808,0.0294882914137033,0.0429184549356225,0.00622406639004147,0.00632911392405067,0.00784313725490193,0.0480053587377194,0.0401125967628431,-0.0175557056043214,0.0299354333789865,-0.00555212831585439,0.0105544098022563,-0.0306079070426526,-0.0619977037887487,-0.0739232806828216,-0.0416666666666667,0.0100558659217878,0.0492307692307692,0.112777444511098,0.0153951086426971,0.0266494734579841,0.0194799547786766,-0.0100033344448148,0.0157250208739215,-0.00988700564971756,-0.00459591317259422,0.0191902150991141,-0.0705944003593353,0.0023843586075345
2017-04-01,0.00909121690255299,-0.041044776119403,0,0.0394271272114575,0.00823045267489686,-0.0859106529209622,0.0806174957118353,0.0919260700389106,0.057737376606775,0.0297699594046008,-0.0470790378006873,0.0194718844984803,-0.0310173697270473,0.0264105642256902,-0.00394679140476528,0.016829865361077,-0.0257428889242014,-0.0104766893661603,-0.0481194690265485,0.0433115271824949,0.128840970350404,0.0796468669033683,0.0286790872932803,0.063123773778043,-0.00471539238800944,-0.0243869023153857,0.128388017118402,0.0662736184117063,-0.00869025450031036,-0.00459122029802661,-0.0080875356803044
2017-05-01,0.0115762100494927,0.385214007782101,0.067791503464899,0.0259361322742746,0.0845481049562684,-0.158646616541353,0.107407407407407,0.0650334075723831,0.00805693567879673,0.07161629434954,0.0158672917417959,-0.0662442933010342,-0.0275288092189501,0.0458479532163742,-0.055620780745524,-0.0376166114956363,-0.0529005599956506,-0.0365272631021706,-0.000581057524695061,0.0752432432432433,0.0854823304680037,0.0783041507421562,0.0634920634920635,-0.0109123004092112,0.0267343485617597,-0.0241539109675607,0.0954487989886219,0.00173206315368724,0.0456063452306408,-0.0425635216054379,-0.0282973621103118
2017-06-01,0.00481383199270247,0,-0.0572799097065463,-0.0129562332121979,-0.0225806451612904,0.115281501340483,0.0129001433349258,-0.0581346716854872,-0.00313041161582517,-0.0839975475168607,-0.0425985090521833,-0.0156655358211933,-0.0210664911125741,-0.0152091254752852,0.112509712509713,0.0675422138836772,0.0504018369690011,0.0824175824175823,0.108720930232558,-0.0267444198672833,0.060712714474263,0.0214309264754369,-0.0834290088021431,-0.000730104648332786,0.0181278839815426,0.0343934379047346,0.0121177149451819,0.0628449823768038,0.0315400738596665,0.109448951994591,0.0286278381046396
2017-07-01,0.0193487688835154,0.126404494382022,0.0329242741694105,0.0545862013766607,0.0583058305830582,0.0905448717948718,0.0419811320754717,0.0239786856127886,0.120999532304403,0.21619812583668,0.0982573229514276,0.0423720223010642,0.0517821116341628,0.0616625028389732,0.00991758625506356,0.0582893966022262,0.0154661711662478,-0.0055837563451776,-0.00131095962244354,0.0204545454545455,-0.10576524263791,0.012911555842479,-0.0741127348643006,-0.0247605130703037,0.0229847847199742,0.00431274346132438,-0.0114025085518814,0.0344762858215493,0.00319303338171273,0.0132551230288716,-0.0124760076775433
2017-08-01,0.000546492328866943,0.0423940149625934,0.106925528832223,0.0340012143290833,0.0218295218295219,-0.0448199853049228,0.0520597555454956,0.00954032957502182,0.016032900226487,-0.0385250412768301,-0.00911546252532069,-0.0794515219293981,-0.0396419437340154,0.041394801583057,-0.00995850622406635,-0.0298920564627735,-0.00371347074969053,-0.00459418070444106,-0.068259385665529,-0.00728892488357968,0.100649350649351,0.037284894837476,0.0207440811724915,0.00774161325231004,0.0113924050632912,-0.0102507272475412,0.13437139561707,0.0369563902498034,0.00376157407407396,0.0254868055033457,0.032555879494655
2017-09-01,0.0193028948273422,0.0550239234449761,-0.0602094240837697,-0.00366999412800939,-0.0335707019328586,-0.0192307692307693,0.0116179001721173,0.0210481099656357,-0.00639408693611776,0.038351459645106,0.0316865417376491,-0.0259877456158883,0.0459387483355527,0.0166392769104355,0.0508521933500978,0.0587731811697576,0.0601231633535004,0.0605128205128205,0.0960834037757115,-0.0195798490719967,-0.0417193426042984,-0.0205837173579109,-0.0209851999116413,0.0912770527011399,0.0644555694618274,0.0522043386983906,0.0111845449923742,-0.0116075594960336,-0.0178725857595848,0.0489002932551319,0.0527058823529412
2017-10-01,0.022188174774546,0.156462585034014,0.0966573816155989,0.116546338588478,0.0878947368421052,-0.138039215686275,0.074861760952786,0.0599495161968868,0.0537843901287047,0.0826901874310915,-0.0211360634081903,-0.00770065075921922,-0.12667091024825,0.0450596080016163,0.0595586280244615,0.0428455941794665,0.0223184713375797,0.0812379110251451,0.0251928020565553,0.149573538589557,-0.0281442392260333,0.0652446675031368,0.0212093862815883,0.013625009461812,-0.0214579659024104,-0.0420324554402768,0.0341880341880341,0.0733549719681323,0.0723021230799334,-0.0602502271615294,-0.0178810907465357
2017-11-01,0.0280826013684055,-0.0274509803921568,0.0203200406400814,0.0170229612034836,0.0532172230285437,-0.00909918107370333,-0.0265136525524337,0.00456439769795591,-0.0159672810801726,-0.0448065173116089,0.0630904183535763,0.0717018253361024,0.0809037900874634,0.0255220417633411,0.0388958594730238,0.0322997416020672,0.0244729103324528,0.0326475849731664,0.0900200601805414,0.0647846543612016,-0.0683257918552037,0.0365135453474676,0.0598762704374725,0.0901351654096034,-0.0787023130069089,0.0394334906970286,0.0398638794360719,0.0890697162964593,0.00556569343065694,0.00937151357381949,0.0436959490213928
